day_of_week,hour,total_trips
Friday,0,8955
Friday,1,5016
Friday,2,2870
Friday,3,1812
Friday,4,2052
Friday,5,7064
Friday,6,19682
Friday,7,34616
Friday,8,42344
Friday,9,33035
Friday,10,32406
Friday,11,41095
Friday,12,49933
Friday,13,51307
Friday,14,52724
Friday,15,64192
Friday,16,76657
Friday,17,82961
Friday,18,70251
Friday,19,50931
Friday,20,35476
Friday,21,28208
Friday,22,25644
Friday,23,21403
Monday,0,6626
Monday,1,3995
Monday,2,2493
Monday,3,1715
Monday,4,1983
Monday,5,7455
Monday,6,22147
Monday,7,40520
Monday,8,50843
Monday,9,32444
Monday,10,28565
Monday,11,35563
Monday,12,41808
Monday,13,42934
Monday,14,44190
Monday,15,53549
Monday,16,74308
Monday,17,91327
Monday,18,72782
Monday,19,49893
Monday,20,34396
Monday,21,24339
Monday,22,15063
Monday,23,8430
Saturday,0,17311
Saturday,1,12671
Saturday,2,7472
Saturday,3,4027
Saturday,4,2459
Saturday,5,3726
Saturday,6,8171
Saturday,7,15966
Saturday,8,29249
Saturday,9,43184
Saturday,10,56332
Saturday,11,66092
Saturday,12,72709
Saturday,13,75182
Saturday,14,74769
Saturday,15,74578
Saturday,16,72121
Saturday,17,66101
Saturday,18,58032
Saturday,19,45308
Saturday,20,34274
Saturday,21,30536
Saturday,22,30072
Saturday,23,23301
Sunday,0,18637
Sunday,1,13037
Sunday,2,8034
Sunday,3,4669
Sunday,4,3338
Sunday,5,3863
Sunday,6,7619
Sunday,7,12657
Sunday,8,21641
Sunday,9,34458
Sunday,10,47871
Sunday,11,57280
Sunday,12,63722
Sunday,13,64966
Sunday,14,65870
Sunday,15,68704
Sunday,16,65651
Sunday,17,58034
Sunday,18,50264
Sunday,19,38813
Sunday,20,28035
Sunday,21,21494
Sunday,22,16623
Sunday,23,10469
Thursday,0,6540
Thursday,1,3500
Thursday,2,2049
Thursday,3,1323
Thursday,4,1693
Thursday,5,7643
Thursday,6,23242
Thursday,7,46616
Thursday,8,58701
Thursday,9,35714
Thursday,10,27692
Thursday,11,33248
Thursday,12,40497
Thursday,13,40937
Thursday,14,41205
Thursday,15,53911
Thursday,16,79133
Thursday,17,97276
Thursday,18,74978
Thursday,19,52483
Thursday,20,37489
Thursday,21,30166
Thursday,22,23960
Thursday,23,14862
Tuesday,0,4735
Tuesday,1,2655
Tuesday,2,1530
Tuesday,3,1133
Tuesday,4,1809
Tuesday,5,8455
Tuesday,6,26084
Tuesday,7,52008
Tuesday,8,63467
Tuesday,9,34593
Tuesday,10,25864
Tuesday,11,30766
Tuesday,12,36825
Tuesday,13,36910
Tuesday,14,37136
Tuesday,15,50548
Tuesday,16,80363
Tuesday,17,96362
Tuesday,18,73350
Tuesday,19,49027
Tuesday,20,33533
Tuesday,21,26870
Tuesday,22,18303
Tuesday,23,10006
Wednesday,0,5220
Wednesday,1,2816
Wednesday,2,1579
Wednesday,3,1279
Wednesday,4,1781
Wednesday,5,8499
Wednesday,6,25787
Wednesday,7,51388
Wednesday,8,64658
Wednesday,9,36844
Wednesday,10,28718
Wednesday,11,34941
Wednesday,12,41249
Wednesday,13,40513
Wednesday,14,43384
Wednesday,15,55348
Wednesday,16,85731
Wednesday,17,104523
Wednesday,18,80460
Wednesday,19,56557
Wednesday,20,41160
Wednesday,21,32054
Wednesday,22,22224
Wednesday,23,12039
